Student_ID,Age,Grade_Level,Prior_CT_Experience,Tool_Used,Abstraction_Score,Algorithmic_Thinking_Score,Decomposition_Score,Pattern_Recognition_Score,Debugging_Score,Creative_Expression_Score,Tool_Session_Count,Time_Spent_Per_Session,Tasks_Completed,Tool_Features_Used,Lines_of_Code,Pre_Test_Score,Post_Test_Score,Improvement_Score,Critical_Thinking_Score,Collaboration_Score,Engagement_Level,Motivation_Score,Error_Rate,Feedback_Received,Skill_Improvement_Category,CT_Mastery_Level,Tool_Effectiveness
S00064,34,High,Beginner,Scratch,2,2,1,4,4,5,6,46,6,2,146,57,71,14,4,5,3,2,3,1,2,Proficient,Low
S00065,28,High,Beginner,Blockly,2,5,1,3,5,3,10,58,15,2,422,40,56,16,4,4,3,2,6,3,2,Proficient,High
S00066,29,Middle,None,Blockly,3,3,1,4,3,5,10,46,9,5,189,42,56,14,5,5,3,5,6,2,2,Proficient,High
S00067,29,Middle,None,Micro:bit,2,3,5,4,2,4,9,34,13,3,449,50,63,13,4,3,4,2,3,3,1,Beginner,High
S00068,26,High,None,Python,3,2,1,4,3,3,10,47,14,3,160,51,61,10,2,4,4,5,6,2,1,Developing,Low
S00069,18,Middle,Beginner,Blockly,3,3,4,2,3,3,6,51,20,5,497,57,79,22,4,5,3,3,5,2,1,Expert,Medium
S00070,14,High,Beginner,Python,4,2,1,2,2,5,10,46,17,5,264,42,55,13,5,5,3,3,3,2,2,Proficient,High
S00071,18,High,Beginner,Python,3,4,4,5,1,4,7,55,8,4,194,62,83,21,2,5,3,2,5,4,1,Developing,Medium
S00072,13,Middle,Intermediate,Python,5,3,4,2,5,5,4,48,13,3,387,66,88,22,2,5,3,4,5,2,2,Beginner,High
S00073,18,Middle,Intermediate,Micro:bit,2,4,5,2,4,3,5,42,6,2,87,65,80,15,4,5,4,3,3,2,2,Beginner,High
S00074,25,Middle,Intermediate,Blockly,4,3,1,4,1,3,8,27,5,5,105,51,76,25,3,5,4,2,2,2,1,Beginner,High
S00075,21,High,Intermediate,Python,3,5,4,5,4,3,4,45,16,5,193,65,90,25,2,4,5,5,5,4,2,Proficient,High
S00076,16,High,Beginner,Scratch,4,5,3,3,2,5,9,36,15,4,404,40,65,25,3,3,5,5,4,2,1,Beginner,High
S00077,34,High,None,Blockly,5,5,3,5,4,3,8,35,19,2,241,52,72,20,5,3,5,3,2,3,2,Beginner,High
S00078,35,High,Beginner,Scratch,3,4,3,4,1,4,4,48,13,3,314,54,75,21,5,5,3,3,2,1,2,Proficient,High
S00079,30,High,Intermediate,Blockly,4,2,4,4,3,3,8,50,8,3,226,56,66,10,4,3,3,4,2,3,2,Expert,Low
S00080,30,Middle,None,Micro:bit,3,5,4,2,3,5,9,56,9,3,128,49,74,25,2,3,4,2,3,1,1,Developing,High
S00081,20,High,None,Python,5,2,1,4,1,5,10,51,15,4,190,51,68,17,5,4,5,2,2,4,1,Developing,Low
S00082,25,Middle,Beginner,Python,4,2,1,4,1,4,9,46,8,4,217,44,63,19,2,5,5,4,2,1,1,Proficient,Medium
S00083,21,High,Beginner,Micro:bit,5,2,2,5,1,5,10,53,9,5,84,47,65,18,4,4,4,3,3,3,2,Beginner,High
S00084,28,Middle,None,Scratch,2,4,4,2,1,5,10,29,14,3,364,43,66,23,4,5,5,3,6,3,2,Proficient,Medium
S00085,30,High,Intermediate,Python,3,3,1,5,2,5,4,39,11,3,187,65,76,11,4,3,5,5,2,3,1,Developing,Low
S00086,26,Middle,Beginner,Python,5,5,4,5,1,4,6,40,20,5,302,62,76,14,2,3,5,4,2,4,1,Proficient,Medium
S00087,15,Middle,Intermediate,Python,4,5,4,2,1,4,9,53,6,4,312,54,68,14,3,3,5,3,2,3,1,Expert,High
S00088,14,Middle,None,Blockly,3,5,5,3,2,3,9,60,18,4,303,54,72,18,4,4,3,2,3,1,1,Proficient,Medium
S00089,19,High,None,Blockly,3,3,2,3,3,4,3,46,6,2,226,52,71,19,4,5,3,2,3,2,1,Proficient,Low
S00090,24,High,Intermediate,Python,5,5,5,5,4,4,5,55,19,5,473,56,79,23,3,4,3,4,2,3,2,Developing,Medium
S00091,33,Middle,Intermediate,Python,3,2,4,3,2,3,10,47,5,4,307,64,88,24,5,4,3,4,6,4,1,Proficient,Low
S00092,23,High,Intermediate,Python,2,5,1,4,5,4,10,28,9,3,341,53,64,11,4,3,3,2,5,1,2,Beginner,Low
S00093,33,High,Intermediate,Blockly,2,2,4,5,3,4,9,43,7,2,92,43,63,20,2,4,3,3,2,4,2,Developing,Medium
S00094,16,High,Intermediate,Scratch,3,2,1,4,5,4,4,53,13,2,116,47,68,21,4,5,5,4,4,1,2,Developing,Medium
S00095,14,High,Beginner,Python,3,5,3,2,1,4,5,25,20,5,209,42,64,22,4,5,5,2,4,4,1,Expert,High
S00096,22,High,Intermediate,Micro:bit,4,3,5,2,5,4,8,37,9,4,282,48,59,11,4,5,3,5,4,4,1,Proficient,High
S00097,30,High,Beginner,Micro:bit,5,5,4,2,3,3,5,41,19,5,297,43,59,16,3,4,4,4,6,2,2,Proficient,Low
S00098,35,Middle,Intermediate,Python,3,2,1,3,1,4,4,42,19,2,417,70,90,20,2,5,5,4,2,3,2,Proficient,Low
S00099,12,Middle,None,Python,2,5,3,2,4,3,7,25,7,3,477,57,79,22,3,4,3,2,6,4,1,Beginner,High
S00100,12,High,Intermediate,Micro:bit,5,3,4,3,2,3,3,53,12,5,148,46,56,10,3,5,5,2,6,1,2,Developing,High
S00101,28,High,None,Scratch,5,2,5,4,1,4,5,44,16,3,253,49,65,16,4,5,3,2,4,4,1,Developing,Medium
S00102,21,High,None,Blockly,2,3,4,2,3,4,3,54,11,5,481,64,83,19,5,3,3,3,2,1,2,Developing,High
S00103,33,Middle,None,Scratch,4,5,4,2,5,4,3,50,11,4,242,52,77,25,4,3,4,3,6,4,2,Expert,High
S00104,26,Middle,Beginner,Scratch,4,3,2,3,4,3,6,42,12,2,499,54,73,19,2,5,3,2,2,1,2,Expert,Low
S00105,33,High,Beginner,Scratch,5,5,3,3,2,5,10,31,6,2,317,59,72,13,2,3,4,4,6,4,1,Proficient,High
S00106,16,High,Beginner,Blockly,2,2,1,5,4,3,10,28,16,3,204,49,66,17,5,5,3,2,2,4,2,Developing,High
S00107,35,Middle,None,Python,4,4,5,2,5,3,5,35,5,2,324,56,70,14,2,5,5,3,6,1,1,Proficient,Medium
S00108,34,Middle,Beginner,Blockly,3,3,1,4,1,4,10,52,10,2,339,51,66,15,4,4,5,3,5,3,2,Developing,Medium
S00109,23,High,Beginner,Micro:bit,2,3,3,3,1,3,9,45,7,2,124,65,80,15,2,5,3,3,5,2,1,Beginner,Low
S00110,16,Middle,Intermediate,Scratch,2,2,1,3,5,3,8,43,7,5,134,63,82,19,2,5,3,4,6,3,1,Developing,Low
S00111,20,High,Intermediate,Blockly,5,3,3,5,5,3,10,37,9,3,486,54,76,22,3,3,3,4,6,4,1,Beginner,Low
S00112,20,Middle,Beginner,Micro:bit,5,5,3,3,5,3,3,58,9,5,465,60,85,25,3,4,3,4,3,4,1,Beginner,Medium
S00113,26,Middle,Intermediate,Scratch,5,5,5,5,4,5,9,35,13,3,110,60,80,20,2,3,3,2,5,2,2,Proficient,High
S00114,17,Middle,Intermediate,Micro:bit,4,2,2,3,3,5,9,47,11,3,236,59,83,24,4,5,3,2,6,4,1,Beginner,High
S00115,21,Middle,Beginner,Python,5,4,5,2,4,5,5,36,18,4,474,47,69,22,3,5,4,3,6,3,2,Expert,High
S00116,22,High,Beginner,Python,3,3,5,5,3,5,4,55,8,3,378,70,87,17,2,5,3,4,3,4,2,Developing,Medium
S00117,24,Middle,None,Python,4,3,2,3,5,4,7,53,13,3,150,48,71,23,2,3,4,4,4,4,1,Developing,Low
S00118,15,High,None,Python,5,2,5,3,4,5,8,37,8,3,226,58,68,10,2,5,5,2,2,2,2,Developing,High
S00119,32,High,Intermediate,Blockly,3,4,5,2,4,5,4,27,6,3,239,53,63,10,5,5,3,5,3,2,1,Expert,Low
S00120,14,Middle,Beginner,Python,3,5,3,4,3,4,3,31,20,4,367,70,91,21,3,3,3,4,5,4,2,Proficient,Low
S00121,17,Middle,None,Python,3,2,2,5,3,3,7,51,9,4,500,57,68,11,2,3,3,3,6,2,1,Beginner,High
S00122,27,High,Intermediate,Scratch,4,5,1,4,2,3,10,53,14,4,125,51,67,16,4,4,4,4,3,1,2,Beginner,High
S00123,16,Middle,None,Micro:bit,4,5,3,3,4,4,8,33,11,4,388,61,84,23,2,3,5,4,4,1,1,Expert,High
S00124,26,Middle,Intermediate,Scratch,5,5,3,2,2,4,4,56,7,5,222,41,57,16,2,3,5,4,6,1,2,Expert,Low
S00125,30,High,Intermediate,Blockly,3,4,4,3,1,4,9,52,15,3,141,61,80,19,2,4,4,3,6,2,1,Proficient,High
S00126,28,Middle,Intermediate,Blockly,4,5,3,5,3,3,9,45,19,3,182,63,81,18,2,4,5,5,4,4,2,Developing,Medium
S00127,29,High,None,Scratch,4,3,4,5,1,4,7,36,9,3,276,48,61,13,5,3,3,3,6,3,2,Proficient,Low
S00128,14,High,Beginner,Scratch,4,3,2,4,5,4,6,51,9,5,113,70,84,14,2,5,3,2,3,2,1,Expert,High
S00129,14,Middle,Intermediate,Blockly,2,4,5,2,5,3,9,54,5,2,449,61,85,24,3,5,5,5,4,4,1,Expert,Low
S00130,30,Middle,Beginner,Scratch,5,5,2,5,5,4,6,54,18,4,284,48,60,12,3,5,5,5,5,4,1,Developing,Low
S00131,29,High,Beginner,Python,3,3,5,5,1,5,8,37,19,4,178,45,58,13,3,3,5,3,2,3,1,Developing,Low
S00132,15,High,Beginner,Micro:bit,5,3,2,3,5,5,9,37,19,4,187,50,72,22,5,3,3,4,6,1,1,Beginner,Medium
S00133,30,Middle,Intermediate,Micro:bit,2,2,4,4,2,3,6,43,18,5,209,44,65,21,5,4,4,2,5,1,2,Developing,Medium
S00134,21,High,Beginner,Micro:bit,4,3,1,3,3,3,9,32,9,3,249,58,82,24,5,4,3,5,6,2,2,Beginner,Low
S00135,13,High,None,Scratch,2,2,4,3,1,3,5,48,7,5,288,66,82,16,2,3,5,2,2,4,1,Developing,High
S00136,31,High,Beginner,Blockly,3,3,1,4,2,4,9,42,17,2,414,57,75,18,3,3,3,3,6,1,1,Beginner,Low
S00137,23,Middle,None,Micro:bit,2,4,1,4,4,4,8,30,16,5,421,70,93,23,5,4,4,4,3,3,2,Developing,High
S00138,35,Middle,Beginner,Python,4,5,4,2,5,5,6,52,18,5,470,56,67,11,5,5,3,5,2,1,1,Expert,Low
S00139,20,Middle,None,Scratch,5,3,2,3,5,5,5,57,5,3,214,62,87,25,3,4,3,4,5,3,1,Expert,Medium
S00140,30,High,Beginner,Blockly,5,5,2,5,5,3,3,30,5,5,188,57,78,21,5,4,5,5,2,3,1,Proficient,High
S00141,17,Middle,None,Micro:bit,4,2,4,5,2,3,3,34,14,4,441,60,75,15,5,3,4,4,5,2,1,Beginner,Medium
S00142,35,Middle,Intermediate,Blockly,4,2,5,3,2,5,4,48,7,2,153,66,77,11,2,5,4,5,2,1,2,Developing,Medium
S00143,19,High,None,Scratch,2,5,4,2,1,5,6,25,10,5,499,68,78,10,3,3,4,4,5,4,1,Expert,Medium
S00144,32,Middle,Beginner,Python,2,3,1,2,2,3,7,51,15,3,204,57,68,11,3,3,4,4,2,4,1,Proficient,Medium
S00145,17,Middle,None,Blockly,3,5,1,3,3,3,9,50,17,4,404,56,75,19,2,5,5,4,5,1,1,Proficient,Low
S00146,20,Middle,None,Blockly,4,2,1,3,5,4,9,27,9,2,209,42,65,23,2,5,3,4,3,4,2,Beginner,High
S00147,14,High,Beginner,Scratch,4,4,5,5,5,3,10,36,12,2,415,44,56,12,5,4,5,4,6,4,1,Proficient,Low
S00148,18,Middle,Intermediate,Scratch,3,4,2,2,5,3,6,48,16,5,362,64,79,15,5,5,5,2,5,4,1,Developing,Low
S00149,23,High,Intermediate,Micro:bit,5,5,5,4,3,4,4,52,18,5,240,69,89,20,4,3,5,4,5,1,2,Developing,High
S00150,24,High,Intermediate,Blockly,5,5,1,4,2,3,7,55,20,2,190,66,84,18,3,5,5,4,5,3,2,Proficient,Medium
S00151,35,High,Beginner,Micro:bit,3,3,1,3,2,4,5,34,20,5,214,56,75,19,4,5,5,2,2,3,2,Developing,High
S00152,27,Middle,None,Blockly,5,4,4,4,1,5,7,45,7,4,356,47,57,10,2,4,3,4,5,2,2,Proficient,Medium
S00153,18,Middle,Intermediate,Python,2,3,4,3,2,3,6,45,18,4,149,54,79,25,4,5,5,3,4,3,2,Proficient,High
S00154,13,Middle,None,Scratch,5,5,1,3,2,5,10,49,5,5,115,51,73,22,2,3,5,2,2,1,1,Beginner,Low
S00155,33,High,Beginner,Blockly,5,3,5,3,2,5,7,40,6,2,260,58,80,22,2,5,4,4,3,4,2,Expert,Low
S00156,27,Middle,Beginner,Python,4,3,3,3,2,3,4,51,8,5,196,63,88,25,5,5,5,4,4,2,1,Beginner,Low
S00157,27,High,Beginner,Python,4,4,1,5,5,4,4,29,10,4,114,57,69,12,4,4,4,3,4,3,2,Proficient,High
S00158,16,High,Beginner,Scratch,3,4,3,2,4,5,4,30,5,4,492,51,75,24,2,4,3,3,4,3,1,Expert,Low
S00159,19,High,Intermediate,Blockly,4,5,1,3,5,5,7,56,10,4,205,43,56,13,5,5,4,4,2,1,1,Proficient,Low
S00160,12,High,Beginner,Python,3,4,1,5,2,4,6,35,20,5,150,62,75,13,4,5,5,4,2,4,1,Expert,Medium
S00161,31,Middle,Beginner,Micro:bit,3,4,3,2,1,4,10,27,17,2,460,54,70,16,4,5,4,5,3,4,2,Expert,Low
S00162,22,High,Beginner,Micro:bit,2,3,5,3,2,4,10,41,20,4,470,70,95,25,3,5,4,4,2,2,2,Beginner,High
S00163,21,High,None,Scratch,4,5,2,4,1,3,9,27,7,2,422,68,81,13,4,3,5,2,2,1,2,Developing,Low
S00164,14,High,Beginner,Micro:bit,5,3,4,4,5,4,3,42,19,2,420,40,64,24,4,5,3,3,3,2,1,Developing,Medium
S00165,33,High,None,Python,4,4,5,3,5,4,10,35,5,4,458,49,67,18,2,3,5,4,6,3,1,Developing,Low
S00166,23,Middle,Beginner,Blockly,3,5,2,3,2,5,5,49,12,5,129,67,88,21,2,4,5,3,2,3,2,Expert,High
S00167,30,Middle,Intermediate,Micro:bit,2,3,4,4,1,3,6,54,12,5,472,48,61,13,5,4,4,3,5,4,1,Expert,High
S00168,33,High,None,Micro:bit,4,5,1,2,2,4,9,36,17,3,305,56,80,24,4,5,4,4,6,1,2,Developing,Medium
S00169,14,Middle,Beginner,Blockly,5,3,1,3,3,3,9,56,18,3,211,41,56,15,4,4,4,5,3,2,1,Beginner,Medium
S00170,33,Middle,Intermediate,Scratch,2,2,4,5,2,3,7,38,8,2,148,61,72,11,4,5,5,3,4,4,1,Expert,Medium
S00171,33,Middle,Beginner,Python,5,4,2,2,5,4,8,31,20,2,321,45,55,10,4,4,5,2,6,2,2,Beginner,Medium
S00172,14,Middle,Beginner,Scratch,4,5,2,2,3,4,10,49,7,2,293,44,54,10,4,5,4,4,2,1,2,Expert,Medium
S00173,12,High,Intermediate,Micro:bit,2,5,4,2,2,5,6,32,19,3,306,55,70,15,4,3,4,4,2,1,1,Developing,Low
S00174,12,High,None,Blockly,5,4,2,5,4,3,7,27,20,4,129,55,79,24,2,5,5,4,3,4,1,Expert,High
S00175,23,High,Intermediate,Python,4,5,2,4,4,4,10,52,17,3,497,45,67,22,3,5,3,3,3,1,1,Expert,Medium
S00176,20,Middle,Beginner,Micro:bit,4,5,4,2,1,5,10,55,7,5,187,67,77,10,5,5,4,5,3,2,2,Proficient,Medium
S00177,14,Middle,Intermediate,Scratch,3,4,1,5,3,5,6,27,8,4,261,68,88,20,5,4,3,4,6,3,1,Developing,Medium
S00178,23,Middle,Intermediate,Micro:bit,5,3,5,2,5,5,7,32,12,2,443,49,72,23,2,3,5,2,3,2,2,Expert,Medium
S00179,32,High,None,Micro:bit,2,3,3,5,3,3,10,26,8,2,357,45,55,10,4,4,5,5,4,2,1,Beginner,High
S00180,34,High,Intermediate,Micro:bit,2,2,4,3,1,3,5,50,14,5,244,60,79,19,3,3,3,4,5,3,2,Beginner,High
S00181,20,High,Intermediate,Python,5,5,1,3,3,4,8,40,15,2,317,41,56,15,3,5,3,2,2,4,1,Developing,Medium
S00182,16,High,None,Python,2,3,1,4,2,5,3,25,12,3,179,44,61,17,2,5,3,3,3,2,2,Developing,High
S00183,22,High,None,Blockly,5,3,2,4,2,4,3,59,9,4,207,41,55,14,5,3,4,5,4,2,1,Proficient,Medium
S00184,22,Middle,Intermediate,Micro:bit,2,3,5,3,4,4,8,56,12,2,135,49,71,22,3,3,3,3,2,3,1,Developing,Low
S00185,13,Middle,None,Scratch,4,5,1,2,1,5,6,31,15,3,264,60,74,14,3,5,4,3,3,1,1,Beginner,Low
S00186,19,High,None,Micro:bit,3,2,4,3,5,5,3,47,6,2,83,63,85,22,5,4,4,5,4,1,1,Expert,Low
S00187,15,High,Beginner,Micro:bit,5,5,5,5,1,5,6,49,15,3,228,43,64,21,5,5,3,2,4,3,1,Beginner,Medium
S00188,27,Middle,None,Scratch,5,5,3,2,4,4,7,51,18,4,377,41,51,10,5,4,5,5,5,4,2,Expert,High
S00189,13,Middle,None,Python,4,2,2,2,3,4,6,32,13,2,168,62,75,13,5,4,3,5,5,1,1,Beginner,Low
S00190,20,High,Beginner,Scratch,4,5,4,5,3,3,3,49,10,3,491,58,80,22,3,3,3,3,3,2,2,Expert,Medium
S00191,12,Middle,Beginner,Micro:bit,3,3,2,4,1,5,7,60,8,2,233,50,69,19,5,5,5,3,3,3,1,Developing,Low
S00192,15,High,Intermediate,Micro:bit,2,2,5,3,4,5,8,47,18,3,489,58,78,20,2,5,3,4,6,2,1,Beginner,Medium
S00193,17,High,None,Python,3,5,5,5,5,4,10,38,10,2,369,45,61,16,2,3,5,3,4,3,1,Expert,Low
S00194,30,Middle,Intermediate,Micro:bit,3,4,5,2,4,3,10,38,9,4,363,49,66,17,4,4,4,2,3,3,1,Proficient,High
S00195,25,Middle,Intermediate,Blockly,4,2,4,4,5,4,9,35,9,4,241,65,88,23,3,3,4,3,3,3,1,Beginner,High
S00196,13,High,Beginner,Blockly,5,4,5,3,2,3,7,60,8,5,146,68,88,20,5,4,5,2,5,2,2,Beginner,High
S00197,27,High,None,Blockly,5,4,4,3,5,3,3,57,5,3,156,61,84,23,3,5,3,5,3,4,1,Developing,Low
S00198,30,High,Beginner,Scratch,3,3,1,5,5,4,7,34,9,3,485,47,59,12,4,4,5,4,4,3,2,Beginner,Low
S00199,33,Middle,Beginner,Python,5,4,2,5,4,5,6,56,16,3,495,63,81,18,2,5,3,3,6,4,1,Developing,Low
